Date,Open_Price,High_Price,Low_Price,Close_Price,Volume,Volume_Change,Simple_Return,Log_Return,Rolling_Volatility_20D,Annualized_Volatility,MA_5,MA_20,EMA_12,EMA_26,Price_Momentum,Price_Rate_of_Change,MACD_Line,MACD_Signal_Line,MACD_Histogram,MACD_Signal_Cross,Beta,Drawdown,Sharpe_Ratio,Market_Sentiment_Index,Liquidity_Score,Portfolio_Exposure,Capital_Allocation_Ratio,Reward_Signal,LDA_Feature_1,LDA_Feature_2,Assets
2018-01-01,251.67927055773058,252.34134950015022,248.15973343029248,250.8940854754202,2651616,0.0,0.0,0.0,,,250.8940854754202,250.8940854754202,250.8940854754202,250.8940854754202,0.0,0.0,0.0,0.0,0.0,0,0.871400650810513,0.0,-0.09702460480833501,0.9969473690700577,0.38148910712274986,0.12510215820856563,0.3441531112769975,,0.3987789476280231,,Crypto
2018-01-02,248.8675287709419,251.22221498977848,245.46342238573493,250.6452097333121,1447985,-0.45392356962697467,-0.000991955396782318,-0.0009924477101324373,0.0007014183876993694,0.011134671713162509,250.76964760436616,250.76964760436616,250.85579689971127,250.87565023526406,-0.1244378710540559,-0.000991955396782318,-0.01985333555279567,-0.0039706671105591345,-0.015882668442236535,0,1.6304811791790246,-0.000991955396782336,-0.09702460480833501,-0.28338063387052315,0.372247303415197,0.6524107327675984,0.3752216860000516,-0.10933825599461199,-0.12526425487988668,0.03467471729908176,Bond
2018-01-03,252.52579475178229,254.69151232900228,247.97409476329142,251.81104910189333,1507942,0.04140719689775785,0.004651353081200682,0.004640568966012723,0.003012916404772278,0.0478285651683256,251.1167814368752,251.1167814368752,251.00275877697004,250.94493904019959,0.6942676650181454,0.003659397684418364,0.05781973677045471,0.008387413665643634,0.04943232310481108,1,0.9852439407506234,0.0,-0.09702460480833501,0.9166798367777884,0.9304163686838565,0.8609036795127422,0.4436892224807706,0.4173067429517426,0.4013637767733882,0.05302166402666331,Equity
2018-01-04,254.31877878557606,257.01023746276815,253.60823387939888,254.5525028434278,2216940,0.47017590862248015,0.01088694777815391,0.010828111607879201,0.005423579732376234,0.08609665912558657,251.97571178851337,251.97571178851337,251.54887324873278,251.21216598858686,2.5767910549144233,0.014546345462572274,0.33670726014591423,0.07405138296169775,0.26265587718421646,1,0.7819843266786634,0.0,-0.09702460480833501,0.5462419838018313,0.5126190251173531,0.5445386962095299,0.41633783543876246,1.0025981186898045,0.4205211496082811,0.07215571100529379,Forex
2018-01-05,254.83848447979017,256.75917824722853,252.005807561061,254.13102676892578,1642864,-0.25894972349274226,-0.001655753016741146,-0.0016571252907411043,0.005259580217350875,0.08349324753423278,252.40677478459583,252.40677478459583,251.94612763645478,251.4283778982416,1.7242519843299533,0.012890592445831128,0.5177497382131833,0.16279105401199484,0.3549586842011884,1,1.222130479229076,-0.0016557530167411278,-0.09702460480833501,-0.17741809261840036,0.528845664815627,0.3817194769661514,0.159489306612548,-0.24741279619160625,0.2396826058805498,0.07085400520961689,Commodity
2018-01-06,254.48651193877208,256.8823784840676,253.5352219371484,253.70958024641726,1117948,-0.31951275333807305,-0.0016583827951544006,-0.0016597594341087947,0.00501217229407975,0.0795657685100587,252.96987373879523,252.62390902823276,252.21742803798745,251.59735584995832,1.0856712181845012,0.011232209650676728,0.6200721880291269,0.25424728081542125,0.36582490721370564,1,1.1697497487538415,-0.003311389939579575,-0.09702460480833501,-0.7633771745679208,0.843803082686561,0.9969254319149781,0.5136711143703215,-0.24209265808591918,0.0666924429903078,0.06889026569752985,Equity
2018-01-07,258.1600783754497,258.88159745095,254.55542921651016,256.5521633143305,632012,-0.4346678020802399,0.011204082499180368,0.011141781683932279,0.005777188635724946,0.09171002644342037,254.1512644549989,253.18508821196102,252.88431038819408,251.964378625097,3.367075102369512,0.023428247546639414,0.9199317630970825,0.38738417727175356,0.5325475858253289,1,0.9131310451664506,0.0,-0.09702460480833501,-0.5256138193105679,0.5904363252780983,0.15834810303703536,0.5170503162753335,1.0286982234746165,0.3417135301340223,0.07496239466421069,Equity
2018-01-08,259.28699947442703,261.20545449108334,257.4317134686419,257.9335458268058,1330365,1.1049679436466397,0.005384411866302674,0.005369967746259259,0.0054038459025194975,0.08578339428829186,255.37576379998146,253.7786454138166,253.66111584028818,252.4065391585569,4.154900412989207,0.024161306331741406,1.2545766817312654,0.5608226781636559,0.6937540035676094,1,0.8603170718752186,0.0,-0.09702460480833501,0.346089152298805,0.883046627869243,0.2893811318159844,0.27239336546815474,0.45265779234197556,0.8911816699582812,0.07199907858664643,Crypto
2018-01-09,258.43506359473315,261.0674338384918,253.736905233328,257.08849193212285,765357,-0.424701491695888,-0.0032762465695346243,-0.003281625216388708,0.005533498912262256,0.0878415720113541,255.88296161772047,254.14640613807285,254.1884044698012,252.75335047511737,2.9420857940500014,0.009998111984052871,1.435053994683841,0.735668941467693,0.699385053216148,1,1.7758686560599128,-0.003276246569534578,-0.09702460480833501,0.6598704067575105,0.5810281118148122,0.8967201531449597,0.12200308456511103,-0.412189982395282,1.1249805595133087,0.07302816744817756,Bond
2018-01-10,259.50877032974387,261.23959612673866,257.60962000015616,258.0651000105776,1460308,0.9080089422321871,0.0037987234322127694,0.0037915265026940855,0.005228025985306509,0.08299233962942668,256.66977626605086,254.53827552532334,254.78481916838223,253.14681340366997,3.5268244852542807,0.015452588433006786,1.6380057647122612,0.9161363061166067,0.7218694585956545,1,0.7814133838614766,0.0,-0.09702460480833501,0.9588809836626355,0.8324198363454192,0.3675761834322734,0.3847117104422615,0.2968800035918503,1.3663558522924109,0.07060355125721385,Crypto
